strain	isolate_id	host	date	region	country	division	virus
A/Swan/IA/24-037722-001-original/2024_H5N1	PV070914.1,PV070915.1,PV070916.1,PV070917.1,PV070918.1,PV070919.1,PV070920.1,PV070921.1	Wild Birds	2024-12-14	North America	USA	Iowa	H5N1
A/Tiger/ID/24-035868-001-original/2024_H5N1	PQ892587.1,PQ892588.1,PQ892589.1,PQ892590.1,PQ892591.1,PQ892592.1,PQ892593.1,PQ892594.1	Non-human mammal	2024-11-19	North America	USA	Idaho	H5N1
A/Trumpeter_Swan/IA/25-002401-001-original/2025_H5N1	PV337833.1,PV337834.1,PV337835.1,PV337836.1,PV337837.1,PV337838.1,PV337839.1,PV337840.1	Wild Birds	2025-01-13	North America	USA	Iowa	H5N1
A/Turkey/AZ/24-034642-006-original/2024_H5N1	PQ843507.1,PQ843508.1,PQ843509.1,PQ843510.1,PQ843511.1,PQ843512.1,PQ843513.1,PQ843514.1	Turkey	2024-11-20	North America	USA	Arizona	H5N1
A/Turkey/BC/FAV-0267-1/2024	EPI_ISL_19547861	Wild Birds	2024-10-20	North America 	 Canada 	 British Columbia	H5N1
A/Turkey/BC/FAV-0306-1/2024	EPI_ISL_19555246	Turkey	2024-11-07	North America 	 Canada 	 British Columbia	H5N1
A/Turkey/IA/24-036948-001-original/2024_H5N1	PV059918.1,PV059919.1,PV059920.1,PV059921.1,PV059922.1,PV059923.1,PV059924.1,PV059925.1	Turkey	2024-12-10	North America	USA	Iowa	H5N1
A/Turkey/IA/24-036948-002-original/2024_H5N1	PV059926.1,PV059927.1,PV059928.1,PV059929.1,PV059930.1,PV059931.1,PV059932.1,PV059933.1	Turkey	2024-12-10	North America	USA	Iowa	H5N1
A/Turkey/IA/24-037492-001-original/2024_H5N1	PV070970.1,PV070971.1,PV070972.1,PV070973.1,PV070974.1,PV070975.1,PV070976.1,PV070977.1	Turkey	2024-12-14	North America	USA	Iowa	H5N1
A/Turkey/IA/24-037492-002-original/2024_H5N1	PV070978.1,PV070979.1,PV070980.1,PV070981.1,PV070982.1,PV070983.1,PV070984.1,PV070985.1	Turkey	2024-12-14	North America	USA	Iowa	H5N1
A/Turkey/ID/25-000070-001-original/2024_H5N1	PV159796.1,PV159797.1,PV159798.1,PV159799.1,PV159800.1,PV159801.1,PV159802.1,PV159803.1	Turkey	2024-12-26	North America	USA	Idaho	H5N1
A/Turkey/ID/25-000070-002-original/2024_H5N1	PV159804.1,PV159805.1,PV159806.1,PV159807.1,PV159808.1,PV159809.1,PV159810.1,PV159811.1	Turkey	2024-12-26	North America	USA	Idaho	H5N1
A/Turkey/ID/25-000070-003-original/2024_H5N1	PV159812.1,PV159813.1,PV159814.1,PV159815.1,PV159816.1,PV159817.1,PV159818.1,PV159819.1	Turkey	2024-12-26	North America	USA	Idaho	H5N1
A/Turkey/IL/24-037156-001-original/2024_H5N1	PV059934.1,PV059935.1,PV059936.1,PV059937.1,PV059938.1,PV059939.1,PV059940.1,PV059941.1	Turkey	2024-12-11	North America	USA	Illinois	H5N1
A/Turkey/IL/24-037156-002-original/2024_H5N1	PV059942.1,PV059943.1,PV059944.1,PV059945.1,PV059946.1,PV059947.1,PV059948.1,PV059949.1	Turkey	2024-12-11	North America	USA	Illinois	H5N1
A/Turkey/IL/24-038393-001-original/2024_H5N1	PV159820.1,PV159821.1,PV159822.1,PV159823.1,PV159824.1,PV159825.1,PV159826.1,PV159827.1	Turkey	2024-12-18	North America	USA	Illinois	H5N1
A/Turkey/IL/24-038393-002-original/2024_H5N1	PV159828.1,PV159829.1,PV159830.1,PV159831.1,PV159832.1,PV159833.1,PV159834.1,PV159835.1	Turkey	2024-12-18	North America	USA	Illinois	H5N1
A/Turkey/IL/24-038393-003-original/2024_H5N1	PV159836.1,PV159837.1,PV159838.1,PV159839.1,PV159840.1,PV159841.1,PV159842.1,PV159843.1	Turkey	2024-12-18	North America	USA	Illinois	H5N1
A/Turkey/IL/24-038393-004-original/2024_H5N1	PV159844.1,PV159845.1,PV159846.1,PV159847.1,PV159848.1,PV159849.1,PV159850.1,PV159851.1	Turkey	2024-12-18	North America	USA	Illinois	H5N1
A/Turkey/KS/24-036528-001-original/2024_H5N1	PV059950.1,PV059951.1,PV059952.1,PV059953.1,PV059954.1,PV059955.1,PV059956.1,PV059957.1	Turkey	2024-12-07	North America	USA	Kansas	H5N1
A/Turkey/MI/24-038285-001-original/2024_H5N1	PV159884.1,PV159885.1,PV159886.1,PV159887.1,PV159888.1,PV159889.1,PV159890.1,PV159891.1	Turkey	2024-12-15	North America	USA	Michigan	H5N1
A/Turkey/MI/24-038620-001-original/2024_H5N1	PV218350.1,PV218351.1,PV218352.1,PV218353.1,PV218354.1,PV218355.1,PV218356.1,PV218357.1	Turkey	2024-XX-XX	North America	USA	Michigan	H5N1
A/Turkey/MI/24-038620-002-original/2024_H5N1	PV218358.1,PV218359.1,PV218360.1,PV218361.1,PV218362.1,PV218363.1,PV218364.1,PV218365.1	Turkey	2024-XX-XX	North America	USA	Michigan	H5N1
A/Turkey/MI/24-038977-001-original/2024_H5N1	PV159892.1,PV159893.1,PV159894.1,PV159895.1,PV159896.1,PV159897.1,PV159898.1,PV159899.1	Turkey	2024-12-28	North America	USA	Michigan	H5N1
A/Turkey/MI/24-038977-002-original/2024_H5N1	PV159900.1,PV159901.1,PV159902.1,PV159903.1,PV159904.1,PV159905.1,PV159906.1,PV159907.1	Turkey	2024-12-28	North America	USA	Michigan	H5N1
A/Turkey/MI/24-038978-001-original/2024_H5N1	PV159908.1,PV159909.1,PV159910.1,PV159911.1,PV159912.1,PV159913.1,PV159914.1,PV159915.1	Turkey	2024-12-27	North America	USA	Michigan	H5N1
A/Turkey/MI/24-038978-002-original/2024_H5N1	PV159916.1,PV159917.1,PV159918.1,PV159919.1,PV159920.1,PV159921.1,PV159922.1,PV159923.1	Turkey	2024-12-27	North America	USA	Michigan	H5N1
A/Turkey/MI/24-038979-001-original/2024_H5N1	PV159924.1,PV159925.1,PV159926.1,PV159927.1,PV159928.1,PV159929.1,PV159930.1,PV159931.1	Turkey	2024-12-27	North America	USA	Michigan	H5N1
A/Turkey/MI/24-038979-002-original/2024_H5N1	PV159932.1,PV159933.1,PV159934.1,PV159935.1,PV159936.1,PV159937.1,PV159938.1,PV159939.1	Turkey	2024-12-27	North America	USA	Michigan	H5N1
A/Turkey/MI/25-000204-001-original/2025_H5N1	PV159940.1,PV159941.1,PV159942.1,PV159943.1,PV159944.1,PV159945.1,PV159946.1,PV159947.1	Turkey	2025-01-02	North America	USA	Michigan	H5N1
A/Turkey/MI/25-000204-002-original/2025_H5N1	PV159948.1,PV159949.1,PV159950.1,PV159951.1,PV159952.1,PV159953.1,PV159954.1,PV159955.1	Turkey	2025-01-02	North America	USA	Michigan	H5N1
A/Turkey/MI/25-000205-001-original/2025_H5N1	PV159956.1,PV159957.1,PV159958.1,PV159959.1,PV159960.1,PV159961.1,PV159962.1,PV159963.1	Turkey	2025-01-02	North America	USA	Michigan	H5N1
A/Turkey/MI/25-000205-002-original/2025_H5N1	PV159964.1,PV159965.1,PV159966.1,PV159967.1,PV159968.1,PV159969.1,PV159970.1,PV159971.1	Turkey	2025-01-02	North America	USA	Michigan	H5N1
A/Turkey/MN/24-037987-002-original/2024_H5N1	PV070994.1,PV070995.1,PV070996.1,PV070997.1,PV070998.1,PV070999.1,PV071000.1,PV071001.1	Turkey	2024-12-16	North America	USA	Minnesota	H5N1
A/Turkey/MN/24-037987-003-original/2024_H5N1	PV071002.1,PV071003.1,PV071004.1,PV071005.1,PV071006.1,PV071007.1,PV071008.1,PV071009.1	Turkey	2024-12-16	North America	USA	Minnesota	H5N1
A/Turkey/MN/24-037988-001-original/2024_H5N1	PV071010.1,PV071011.1,PV071012.1,PV071013.1,PV071014.1,PV071015.1,PV071016.1,PV071017.1	Turkey	2024-12-17	North America	USA	Minnesota	H5N1
A/Turkey/MN/24-037988-002-original/2024_H5N1	PV071018.1,PV071019.1,PV071020.1,PV071021.1,PV071022.1,PV071023.1,PV071024.1,PV071025.1	Turkey	2024-12-17	North America	USA	Minnesota	H5N1
A/Turkey/MN/24-037988-003-original/2024_H5N1	PV071026.1,PV071027.1,PV071028.1,PV071029.1,PV071030.1,PV071031.1,PV071032.1,PV071033.1	Turkey	2024-12-17	North America	USA	Minnesota	H5N1
A/Turkey/MN/24-038159-003-original/2024_H5N1	PV071034.1,PV071035.1,PV071036.1,PV071037.1,PV071038.1,PV071039.1,PV071040.1,PV071041.1	Turkey	2024-12-17	North America	USA	Minnesota	H5N1
A/Turkey/MN/24-038168-001-original/2024_H5N1	PV071042.1,PV071043.1,PV071044.1,PV071045.1,PV071046.1,PV071047.1,PV071048.1,PV071049.1	Turkey	2024-12-19	North America	USA	Minnesota	H5N1
A/Turkey/MN/24-038168-002-original/2024_H5N1	PV071050.1,PV071051.1,PV071052.1,PV071053.1,PV071054.1,PV071055.1,PV071056.1,PV071057.1	Turkey	2024-12-19	North America	USA	Minnesota	H5N1
A/Turkey/MN/24-038168-003-original/2024_H5N1	PV071058.1,PV071059.1,PV071060.1,PV071061.1,PV071062.1,PV071063.1,PV071064.1,PV071065.1	Turkey	2024-12-19	North America	USA	Minnesota	H5N1
A/Turkey/MN/25-001440-001-original/2025_H5N1	PV218366.1,PV218367.1,PV218368.1,PV218369.1,PV218370.1,PV218371.1,PV218372.1,PV218373.1	Turkey	2025-XX-XX	North America	USA	Minnesota	H5N1
A/Turkey/MN/25-001440-002-original/2025_H5N1	PV218374.1,PV218375.1,PV218376.1,PV218377.1,PV218378.1,PV218379.1,PV218380.1,PV218381.1	Turkey	2025-XX-XX	North America	USA	Minnesota	H5N1
A/Turkey/MO/25-002894-002-original/2025_H5N1	PV337921.1,PV337922.1,PV337923.1,PV337924.1,PV337925.1,PV337926.1,PV337927.1,PV337928.1	Turkey	2025-01-25	North America	USA	Missouri	H5N1
A/Turkey/MO/25-003036-001-original/2025_H5N1	PV337929.1,PV337930.1,PV337931.1,PV337932.1,PV337933.1,PV337934.1,PV337935.1,PV337936.1	Turkey	2025-01-28	North America	USA	Missouri	H5N1
A/Turkey/MO/25-003036-002-original/2025_H5N1	PV337937.1,PV337938.1,PV337939.1,PV337940.1,PV337941.1,PV337942.1,PV337943.1,PV337944.1	Turkey	2025-01-28	North America	USA	Missouri	H5N1
A/Turkey/MO/25-003257-001-original/2025_H5N1	PV337945.1,PV337946.1,PV337947.1,PV337948.1,PV337949.1,PV337950.1,PV337951.1,PV337952.1	Turkey	2025-01-28	North America	USA	Missouri	H5N1
A/Turkey/MO/25-003257-002-original/2025_H5N1	PV337953.1,PV337954.1,PV337955.1,PV337956.1,PV337957.1,PV337958.1,PV337959.1,PV337960.1	Turkey	2025-01-28	North America	USA	Missouri	H5N1
A/Turkey/MO/25-003392-001-original/2025_H5N1	PV337961.1,PV337962.1,PV337963.1,PV337964.1,PV337965.1,PV337966.1,PV337967.1,PV337968.1	Turkey	2025-01-29	North America	USA	Missouri	H5N1
A/Turkey/MO/25-003392-002-original/2025_H5N1	PV337969.1,PV337970.1,PV337971.1,PV337972.1,PV337973.1,PV337974.1,PV337975.1,PV337976.1	Turkey	2025-01-29	North America	USA	Missouri	H5N1
A/Turkey/NC/25-002658-001-original/2025_H5N1	PV337977.1,PV337978.1,PV337979.1,PV337980.1,PV337981.1,PV337982.1,PV337983.1,PV337984.1	Turkey	2025-01-24	North America	USA	North Carolina	H5N1
A/Turkey/NC/25-002898-002-original/2025_H5N1	PV337985.1,PV337986.1,PV337987.1,PV337988.1,PV337989.1,PV337990.1,PV337991.1,PV337992.1	Turkey	2025-01-25	North America	USA	North Carolina	H5N1
A/Turkey/NC/25-002898-003-original/2025_H5N1	PV337993.1,PV337994.1,PV337995.1,PV337996.1,PV337997.1,PV337998.1,PV337999.1,PV338000.1	Turkey	2025-01-25	North America	USA	North Carolina	H5N1
A/Turkey/NC/25-002898-004-original/2025_H5N1	PV338001.1,PV338002.1,PV338003.1,PV338004.1,PV338005.1,PV338006.1,PV338007.1,PV338008.1	Turkey	2025-01-25	North America	USA	North Carolina	H5N1
A/Turkey/NC/25-002898-005-original/2025_H5N1	PV338009.1,PV338010.1,PV338011.1,PV338012.1,PV338013.1,PV338014.1,PV338015.1,PV338016.1	Turkey	2025-01-25	North America	USA	North Carolina	H5N1
A/Turkey/NC/25-002898-006-original/2025_H5N1	PV338017.1,PV338018.1,PV338019.1,PV338020.1,PV338021.1,PV338022.1,PV338023.1,PV338024.1	Turkey	2025-01-25	North America	USA	North Carolina	H5N1
A/Turkey/NC/25-002898-007-original/2025_H5N1	PV338025.1,PV338026.1,PV338027.1,PV338028.1,PV338029.1,PV338030.1,PV338031.1,PV338032.1	Turkey	2025-01-25	North America	USA	North Carolina	H5N1
A/Turkey/ND/24-035295-001-original/2024_H5N1	PQ892659.1,PQ892660.1,PQ892661.1,PQ892662.1,PQ892663.1,PQ892664.1,PQ892665.1,PQ892666.1	Turkey	2024-11-25	North America	USA	North Dakota	H5N1
A/Turkey/NE/24-036225-001-original-repeat/2024_H5N1	PV160004.1,PV160005.1,PV160006.1,PV160007.1,PV160008.1,PV160009.1,PV160010.1,PV160011.1	Turkey	2024-12-04	North America	USA	Nebraska	H5N1
A/Turkey/NE/24-036225-002-original-repeat2/2024_H5N1	PV160012.1,PV160013.1,PV160014.1,PV160015.1,PV160016.1,PV160017.1,PV160018.1,PV160019.1	Turkey	2024-12-04	North America	USA	Nebraska	H5N1
A/Turkey/NE/24-036590-001-original/2024_H5N1	PV059982.1,PV059983.1,PV059984.1,PV059985.1,PV059986.1,PV059987.1,PV059988.1,PV059989.1	Turkey	2024-12-08	North America	USA	Nebraska	H5N1
A/Turkey/NE/24-036590-002-original/2024_H5N1	PV059990.1,PV059991.1,PV059992.1,PV059993.1,PV059994.1,PV059995.1,PV059996.1,PV059997.1	Turkey	2024-12-08	North America	USA	Nebraska	H5N1
A/Turkey/NE/24-036590-004-original/2024_H5N1	PV059998.1,PV059999.1,PV060000.1,PV060001.1,PV060002.1,PV060003.1,PV060004.1,PV060005.1	Turkey	2024-12-08	North America	USA	Nebraska	H5N1
A/Turkey/NE/24-036590-005-original/2024_H5N1	PV060006.1,PV060007.1,PV060008.1,PV060009.1,PV060010.1,PV060011.1,PV060012.1,PV060013.1	Turkey	2024-12-08	North America	USA	Nebraska	H5N1
A/Turkey/NE/24-036590-006-original/2024_H5N1	PV060014.1,PV060015.1,PV060016.1,PV060017.1,PV060018.1,PV060019.1,PV060020.1,PV060021.1	Turkey	2024-12-08	North America	USA	Nebraska	H5N1
A/Turkey/NE/24-036590-007-original/2024_H5N1	PV060022.1,PV060023.1,PV060024.1,PV060025.1,PV060026.1,PV060027.1,PV060028.1,PV060029.1	Turkey	2024-12-08	North America	USA	Nebraska	H5N1
A/Turkey/NE/24-036590-008-original/2024_H5N1	PV060030.1,PV060031.1,PV060032.1,PV060033.1,PV060034.1,PV060035.1,PV060036.1,PV060037.1	Turkey	2024-12-08	North America	USA	Nebraska	H5N1
A/Turkey/NE/25-002670-003-original/2025_H5N1	PV338033.1,PV338034.1,PV338035.1,PV338036.1,PV338037.1,PV338038.1,PV338039.1,PV338040.1	Turkey	2025-01-23	North America	USA	Nebraska	H5N1
A/Turkey/OK/24-038440-005-original/2024_H5N1	PV160036.1,PV160037.1,PV160038.1,PV160039.1,PV160040.1,PV160041.1,PV160042.1,PV160043.1	Turkey	2024-12-20	North America	USA	Oklahoma	H5N1
A/Turkey/OK/24-038440-009-original/2024_H5N1	PV160044.1,PV160045.1,PV160046.1,PV160047.1,PV160048.1,PV160049.1,PV160050.1,PV160051.1	Turkey	2024-12-20	North America	USA	Oklahoma	H5N1
A/Turkey/OK/24-038440-010-original/2024_H5N1	PV160052.1,PV160053.1,PV160054.1,PV160055.1,PV160056.1,PV160057.1,PV160058.1,PV160059.1	Turkey	2024-12-20	North America	USA	Oklahoma	H5N1
A/Turkey/OK/24-038442-001-original/2024_H5N1	PV160060.1,PV160061.1,PV160062.1,PV160063.1,PV160064.1,PV160065.1,PV160066.1,PV160067.1	Turkey	2024-12-22	North America	USA	Oklahoma	H5N1
A/Turkey/OK/24-038442-002-original/2024_H5N1	PV160068.1,PV160069.1,PV160070.1,PV160071.1,PV160072.1,PV160073.1,PV160074.1,PV160075.1	Turkey	2024-12-22	North America	USA	Oklahoma	H5N1
A/Turkey/OK/24-038442-003-original/2024_H5N1	PV160076.1,PV160077.1,PV160078.1,PV160079.1,PV160080.1,PV160081.1,PV160082.1,PV160083.1	Turkey	2024-12-22	North America	USA	Oklahoma	H5N1
A/Turkey/OK/24-038442-004-original/2024_H5N1	PV160084.1,PV160085.1,PV160086.1,PV160087.1,PV160088.1,PV160089.1,PV160090.1,PV160091.1	Turkey	2024-12-22	North America	USA	Oklahoma	H5N1
A/Turkey/SD/24-035157-001-original/2024_H5N1	PQ892667.1,PQ892668.1,PQ892669.1,PQ892670.1,PQ892671.1,PQ892672.1,PQ892673.1,PQ892674.1	Turkey	2024-11-24	North America	USA	South Dakota	H5N1
A/Turkey/SD/24-035157-002-original/2024_H5N1	PQ892675.1,PQ892676.1,PQ892677.1,PQ892678.1,PQ892679.1,PQ892680.1,PQ892681.1,PQ892682.1	Turkey	2024-11-24	North America	USA	South Dakota	H5N1
A/Turkey/SD/24-035157-003-original/2024_H5N1	PQ892683.1,PQ892684.1,PQ892685.1,PQ892686.1,PQ892687.1,PQ892688.1,PQ892689.1,PQ892690.1	Turkey	2024-11-24	North America	USA	South Dakota	H5N1
A/Turkey/SD/24-035157-004-original/2024_H5N1	PQ892691.1,PQ892692.1,PQ892693.1,PQ892694.1,PQ892695.1,PQ892696.1,PQ892697.1,PQ892698.1	Turkey	2024-11-24	North America	USA	South Dakota	H5N1
A/Turkey/SD/24-035288-001-original/2024_H5N1	PQ892699.1,PQ892700.1,PQ892701.1,PQ892702.1,PQ892703.1,PQ892704.1,PQ892705.1,PQ892706.1	Turkey	2024-11-25	North America	USA	South Dakota	H5N1
A/Turkey/SD/24-035288-002-original/2024_H5N1	PQ892707.1,PQ892708.1,PQ892709.1,PQ892710.1,PQ892711.1,PQ892712.1,PQ892713.1,PQ892714.1	Turkey	2024-11-25	North America	USA	South Dakota	H5N1
A/Turkey/SD/24-035288-003-original/2024_H5N1	PQ892715.1,PQ892716.1,PQ892717.1,PQ892718.1,PQ892719.1,PQ892720.1,PQ892721.1,PQ892722.1	Turkey	2024-11-25	North America	USA	South Dakota	H5N1
A/Turkey/SD/24-035687-001-original/2024_H5N1	PQ892723.1,PQ892724.1,PQ892725.1,PQ892726.1,PQ892727.1,PQ892728.1,PQ892729.1,PQ892730.1	Turkey	2024-12-01	North America	USA	South Dakota	H5N1
A/Turkey/SD/24-035687-002-original/2024_H5N1	PQ892731.1,PQ892732.1,PQ892733.1,PQ892734.1,PQ892735.1,PQ892736.1,PQ892737.1,PQ892738.1	Turkey	2024-12-01	North America	USA	South Dakota	H5N1
A/Turkey/SD/24-035690-001-original/2024_H5N1	PQ892739.1,PQ892740.1,PQ892741.1,PQ892742.1,PQ892743.1,PQ892744.1,PQ892745.1,PQ892746.1	Turkey	2024-12-01	North America	USA	South Dakota	H5N1
A/Turkey/SD/24-035690-002-original/2024_H5N1	PQ892747.1,PQ892748.1,PQ892749.1,PQ892750.1,PQ892751.1,PQ892752.1,PQ892753.1,PQ892754.1	Turkey	2024-12-01	North America	USA	South Dakota	H5N1
A/Turkey/SD/24-035932-001-original/2024_H5N1	PQ892755.1,PQ892756.1,PQ892757.1,PQ892758.1,PQ892759.1,PQ892760.1,PQ892761.1,PQ892762.1	Turkey	2024-12-02	North America	USA	South Dakota	H5N1
A/Turkey/SD/24-036334-001-original/2024_H5N1	PV060038.1,PV060039.1,PV060040.1,PV060041.1,PV060042.1,PV060043.1,PV060044.1,PV060045.1	Turkey	2024-12-05	North America	USA	South Dakota	H5N1
A/Turkey/SD/24-036334-002-original/2024_H5N1	PV060046.1,PV060047.1,PV060048.1,PV060049.1,PV060050.1,PV060051.1,PV060052.1,PV060053.1	Turkey	2024-12-05	North America	USA	South Dakota	H5N1
A/Turkey/SD/24-036337-001-original/2024_H5N1	PV060054.1,PV060055.1,PV060056.1,PV060057.1,PV060058.1,PV060059.1,PV060060.1,PV060061.1	Turkey	2024-12-05	North America	USA	South Dakota	H5N1
A/Turkey/SD/24-036337-002-original/2024_H5N1	PV060062.1,PV060063.1,PV060064.1,PV060065.1,PV060066.1,PV060067.1,PV060068.1,PV060069.1	Turkey	2024-12-05	North America	USA	South Dakota	H5N1
A/Turkey/SD/24-036595-001-original/2024_H5N1	PV060070.1,PV060071.1,PV060072.1,PV060073.1,PV060074.1,PV060075.1,PV060076.1,PV060077.1	Turkey	2024-12-06	North America	USA	South Dakota	H5N1
A/Turkey/SD/24-036595-002-original/2024_H5N1	PV060078.1,PV060079.1,PV060080.1,PV060081.1,PV060082.1,PV060083.1,PV060084.1,PV060085.1	Turkey	2024-12-06	North America	USA	South Dakota	H5N1
A/Turkey/SD/24-036597-001-original/2024_H5N1	PV060086.1,PV060087.1,PV060088.1,PV060089.1,PV060090.1,PV060091.1,PV060092.1,PV060093.1	Turkey	2024-12-06	North America	USA	South Dakota	H5N1
A/Turkey/SD/24-036598-001-original/2024_H5N1	PV060094.1,PV060095.1,PV060096.1,PV060097.1,PV060098.1,PV060099.1,PV060100.1,PV060101.1	Turkey	2024-12-06	North America	USA	South Dakota	H5N1
A/Turkey/SD/24-036598-002-original/2024_H5N1	PV060102.1,PV060103.1,PV060104.1,PV060105.1,PV060106.1,PV060107.1,PV060108.1,PV060109.1	Turkey	2024-12-06	North America	USA	South Dakota	H5N1
A/Turkey/SD/24-036598-003-original/2024_H5N1	PV060110.1,PV060111.1,PV060112.1,PV060113.1,PV060114.1,PV060115.1,PV060116.1,PV060117.1	Turkey	2024-12-06	North America	USA	South Dakota	H5N1
A/Turkey/SD/24-036599-001-original/2024_H5N1	PV060118.1,PV060119.1,PV060120.1,PV060121.1,PV060122.1,PV060123.1,PV060124.1,PV060125.1	Turkey	2024-12-06	North America	USA	South Dakota	H5N1
A/Turkey/SD/24-036599-002-original/2024_H5N1	PV060126.1,PV060127.1,PV060128.1,PV060129.1,PV060130.1,PV060131.1,PV060132.1,PV060133.1	Turkey	2024-12-06	North America	USA	South Dakota	H5N1
A/Turkey/SD/24-036844-001-original/2024_H5N1	PV060134.1,PV060135.1,PV060136.1,PV060137.1,PV060138.1,PV060139.1,PV060140.1,PV060141.1	Turkey	2024-12-10	North America	USA	South Dakota	H5N1
A/Turkey/SD/24-036844-002-original/2024_H5N1	PV060142.1,PV060143.1,PV060144.1,PV060145.1,PV060146.1,PV060147.1,PV060148.1,PV060149.1	Turkey	2024-12-10	North America	USA	South Dakota	H5N1
A/Turkey/SD/24-037528-001-original/2024_H5N1	PV071066.1,PV071067.1,PV071068.1,PV071069.1,PV071070.1,PV071071.1,PV071072.1,PV071073.1	Turkey	2024-12-15	North America	USA	South Dakota	H5N1
A/Turkey/SD/24-037528-002-original/2024_H5N1	PV071074.1,PV071075.1,PV071076.1,PV071077.1,PV071078.1,PV071079.1,PV071080.1,PV071081.1	Turkey	2024-12-15	North America	USA	South Dakota	H5N1
A/Turkey/SD/24-037530-001-original/2024_H5N1	PV071082.1,PV071083.1,PV071084.1,PV071085.1,PV071086.1,PV071087.1,PV071088.1,PV071089.1	Turkey	2024-12-13	North America	USA	South Dakota	H5N1
A/Turkey/SD/24-037530-002-original/2024_H5N1	PV071090.1,PV071091.1,PV071092.1,PV071093.1,PV071094.1,PV071095.1,PV071096.1,PV071097.1	Turkey	2024-12-13	North America	USA	South Dakota	H5N1
A/Turkey/UT/24-034636-001-original/2024_H5N1	PQ843539.1,PQ843540.1,PQ843541.1,PQ843542.1,PQ843543.1,PQ843544.1,PQ843545.1,PQ843546.1	Turkey	2024-11-18	North America	USA	Utah	H5N1
A/Turkey/UT/24-034636-002-original/2024_H5N1	PQ843547.1,PQ843548.1,PQ843549.1,PQ843550.1,PQ843551.1,PQ843552.1,PQ843553.1,PQ843554.1	Turkey	2024-11-18	North America	USA	Utah	H5N1
A/Turkey/UT/24-034636-003-original/2024_H5N1	PQ843555.1,PQ843556.1,PQ843557.1,PQ843558.1,PQ843559.1,PQ843560.1,PQ843561.1,PQ843562.1	Turkey	2024-11-18	North America	USA	Utah	H5N1
A/Turkey/UT/24-034636-004-original/2024_H5N1	PQ843563.1,PQ843564.1,PQ843565.1,PQ843566.1,PQ843567.1,PQ843568.1,PQ843569.1,PQ843570.1	Turkey	2024-11-18	North America	USA	Utah	H5N1
A/Turkey/WI/24-037154-001-original/2024_H5N1	PV060150.1,PV060151.1,PV060152.1,PV060153.1,PV060154.1,PV060155.1,PV060156.1,PV060157.1	Turkey	2024-12-11	North America	USA	Wisconsin	H5N1
A/Turkey/WI/24-037154-002-original/2024_H5N1	PV060158.1,PV060159.1,PV060160.1,PV060161.1,PV060162.1,PV060163.1,PV060164.1,PV060165.1	Turkey	2024-12-11	North America	USA	Wisconsin	H5N1
A/Turkey/WI/24-037154-003-original/2024_H5N1	PV060166.1,PV060167.1,PV060168.1,PV060169.1,PV060170.1,PV060171.1,PV060172.1,PV060173.1	Turkey	2024-12-11	North America	USA	Wisconsin	H5N1
A/Turkey/WI/24-038658-001-original/2024_H5N1	PV160092.1,PV160093.1,PV160094.1,PV160095.1,PV160096.1,PV160097.1,PV160098.1,PV160099.1	Turkey	2024-12-24	North America	USA	Wisconsin	H5N1
A/Turkey/WI/24-038658-002-original/2024_H5N1	PV160100.1,PV160101.1,PV160102.1,PV160103.1,PV160104.1,PV160105.1,PV160106.1,PV160107.1	Turkey	2024-12-24	North America	USA	Wisconsin	H5N1
A/Turkey/WV/25-000051-001-original/2024_H5N1	PV160108.1,PV160109.1,PV160110.1,PV160111.1,PV160112.1,PV160113.1,PV160114.1,PV160115.1	Turkey	2024-12-31	North America	USA	West Virginia	H5N1
A/Turkey_Vulture/NY/25-002923-001-original/2025_H5N1	PV337849.1,PV337850.1,PV337851.1,PV337852.1,PV337853.1,PV337854.1,PV337855.1,PV337856.1	Wild Birds	2025-01-24	North America	USA	New York	H5N1
A/Turkey_Vulture/PA/25-002209-001-original/2025_H5N1	PV337857.1,PV337858.1,PV337859.1,PV337860.1,PV337861.1,PV337862.1,PV337863.1,PV337864.1	Wild Birds	2025-01-09	North America	USA	Pennsylvania	H5N1
A/Turkey_Vulture/VA/25-003128-001-original/2025_H5N1	PV337865.1,PV337866.1,PV337867.1,PV337868.1,PV337869.1,PV337870.1,PV337871.1,PV337872.1	Wild Birds	2025-01-10	North America	USA	Virginia	H5N1
A/Turkey_Vulture/VA/25-003128-002-original/2025_H5N1	PV337873.1,PV337874.1,PV337875.1,PV337876.1,PV337877.1,PV337878.1,PV337879.1,PV337880.1	Wild Birds	2025-01-10	North America	USA	Virginia	H5N1
A/Turkey_Vulture/VA/25-003128-003-original/2025_H5N1	PV337881.1,PV337882.1,PV337883.1,PV337884.1,PV337885.1,PV337886.1,PV337887.1,PV337888.1	Wild Birds	2025-01-10	North America	USA	Virginia	H5N1
A/Vulture/CA/25-003065-001-original/2025_H5N1	PV338377.1,PV338378.1,PV338379.1,PV338380.1,PV338381.1,PV338382.1,PV338383.1,PV338384.1	Wild Birds	2025-01-20	North America	USA	California	H5N1
A/Vulture/MD/25-001987-001-original/2025_H5N1	PV338385.1,PV338386.1,PV338387.1,PV338388.1,PV338389.1,PV338390.1,PV338391.1,PV338392.1	Wild Birds	2025-01-15	North America	USA	Maryland	H5N1
